index,color,RedCount,BlueCount,GreenCount,YellowCount,BlackCount
1,yellow,0,0,0,1,0
2,red,1,0,0,1,0
3,black,1,0,0,1,1
4,black,1,0,0,1,2
5,green,1,0,1,1,2
6,green,1,0,2,1,2
7,green,1,0,3,1,2
8,blue,1,1,3,1,2
9,black,1,1,3,1,3
10,blue,1,2,3,1,3
11,red,2,2,3,1,3
12,yellow,2,2,3,2,3
13,red,3,2,3,2,3
14,green,3,2,4,2,3
15,yellow,3,2,4,3,3
16,blue,3,3,4,3,3
17,red,4,3,4,3,3
18,blue,4,4,4,3,3
19,yellow,4,4,4,4,3
20,green,4,4,5,4,3
21,green,4,4,6,4,3
22,red,5,4,6,4,3
23,red,6,4,6,4,3
24,yellow,6,4,6,5,3
25,red,7,4,6,5,3
26,green,7,4,7,5,3
27,blue,7,5,7,5,3
28,blue,7,6,7,5,3
29,black,7,6,7,5,4
30,green,7,6,8,5,4
31,black,7,6,8,5,5
32,yellow,7,6,8,6,5
33,green,7,6,9,6,5
34,green,7,6,10,6,5
35,red,8,6,10,6,5
36,yellow,8,6,10,7,5
37,black,8,6,10,7,6
38,green,8,6,11,7,6
39,blue,8,7,11,7,6
40,yellow,8,7,11,8,6
41,green,8,7,12,8,6
42,yellow,8,7,12,9,6
43,red,9,7,12,9,6
44,black,9,7,12,9,7
45,blue,9,8,12,9,7
46,yellow,9,8,12,10,7
47,blue,9,9,12,10,7
48,blue,9,10,12,10,7
49,red,10,10,12,10,7
50,red,11,10,12,10,7
51,yellow,11,10,12,11,7
52,green,11,10,13,11,7
53,green,11,10,14,11,7
54,yellow,11,10,14,12,7
55,red,12,10,14,12,7
56,green,12,10,15,12,7
57,green,12,10,16,12,7
58,black,12,10,16,12,8
59,red,13,10,16,12,8
60,blue,13,11,16,12,8
61,yellow,13,11,16,13,8
62,blue,13,12,16,13,8
63,yellow,13,12,16,14,8
64,yellow,13,12,16,15,8
65,red,14,12,16,15,8
66,red,15,12,16,15,8
67,yellow,15,12,16,16,8
68,red,16,12,16,16,8
69,blue,16,13,16,16,8
70,blue,16,14,16,16,8
71,red,17,14,16,16,8
72,green,17,14,17,16,8
73,red,18,14,17,16,8
74,black,18,14,17,16,9
75,black,18,14,17,16,10
76,black,18,14,17,16,11
77,black,18,14,17,16,12
78,red,19,14,17,16,12
79,green,19,14,18,16,12
80,red,20,14,18,16,12
81,green,20,14,19,16,12
82,yellow,20,14,19,17,12
83,blue,20,15,19,17,12
84,blue,20,16,19,17,12
85,green,20,16,20,17,12
86,black,20,16,20,17,13
87,green,20,16,21,17,13
88,blue,20,17,21,17,13
89,green,20,17,22,17,13
90,black,20,17,22,17,14
91,blue,20,18,22,17,14
92,black,20,18,22,17,15
93,yellow,20,18,22,18,15
94,black,20,18,22,18,16
95,black,20,18,22,18,17
96,red,21,18,22,18,17
97,red,22,18,22,18,17
98,black,22,18,22,18,18
99,yellow,22,18,22,19,18
100,blue,22,19,22,19,18
101,red,23,19,22,19,18
102,green,23,19,23,19,18
103,black,23,19,23,19,19
104,black,23,19,23,19,20
105,yellow,23,19,23,20,20
106,yellow,23,19,23,21,20
107,yellow,23,19,23,22,20
108,blue,23,20,23,22,20
109,green,23,20,24,22,20
110,blue,23,21,24,22,20
111,green,23,21,25,22,20
112,green,23,21,26,22,20
113,black,23,21,26,22,21
114,red,24,21,26,22,21
115,blue,24,22,26,22,21
116,blue,24,23,26,22,21
117,green,24,23,27,22,21
118,red,25,23,27,22,21
119,yellow,25,23,27,23,21
120,green,25,23,28,23,21
121,yellow,25,23,28,24,21
122,yellow,25,23,28,25,21
123,yellow,25,23,28,26,21
124,black,25,23,28,26,22
125,yellow,25,23,28,27,22
126,black,25,23,28,27,23
127,green,25,23,29,27,23
128,blue,25,24,29,27,23
129,black,25,24,29,27,24
130,red,26,24,29,27,24
131,blue,26,25,29,27,24
132,green,26,25,30,27,24
133,black,26,25,30,27,25
134,blue,26,26,30,27,25
135,green,26,26,31,27,25
136,green,26,26,32,27,25
137,red,27,26,32,27,25
138,green,27,26,33,27,25
139,red,28,26,33,27,25
140,yellow,28,26,33,28,25
141,blue,28,27,33,28,25
142,blue,28,28,33,28,25
143,yellow,28,28,33,29,25
144,red,29,28,33,29,25
145,green,29,28,34,29,25
146,black,29,28,34,29,26
147,yellow,29,28,34,30,26
148,green,29,28,35,30,26
149,red,30,28,35,30,26
150,yellow,30,28,35,31,26
151,red,31,28,35,31,26
152,black,31,28,35,31,27
153,blue,31,29,35,31,27
154,red,32,29,35,31,27
155,red,33,29,35,31,27
156,yellow,33,29,35,32,27
157,blue,33,30,35,32,27
158,black,33,30,35,32,28
159,red,34,30,35,32,28
160,black,34,30,35,32,29
161,green,34,30,36,32,29
162,blue,34,31,36,32,29
163,red,35,31,36,32,29
164,yellow,35,31,36,33,29
165,red,36,31,36,33,29
166,blue,36,32,36,33,29
167,yellow,36,32,36,34,29
168,yellow,36,32,36,35,29
169,green,36,32,37,35,29
170,red,37,32,37,35,29
171,green,37,32,38,35,29
172,yellow,37,32,38,36,29
173,blue,37,33,38,36,29
174,blue,37,34,38,36,29
175,green,37,34,39,36,29
176,yellow,37,34,39,37,29
177,green,37,34,40,37,29
178,red,38,34,40,37,29
179,black,38,34,40,37,30
180,yellow,38,34,40,38,30
181,yellow,38,34,40,39,30
182,blue,38,35,40,39,30
183,yellow,38,35,40,40,30
184,green,38,35,41,40,30
185,black,38,35,41,40,31
186,yellow,38,35,41,41,31
187,blue,38,36,41,41,31
188,red,39,36,41,41,31
189,blue,39,37,41,41,31
190,green,39,37,42,41,31
191,black,39,37,42,41,32
192,yellow,39,37,42,42,32
193,yellow,39,37,42,43,32
194,red,40,37,42,43,32
195,yellow,40,37,42,44,32
196,red,41,37,42,44,32
197,black,41,37,42,44,33
198,red,42,37,42,44,33
199,red,43,37,42,44,33
200,blue,43,38,42,44,33
201,black,43,38,42,44,34
202,green,43,38,43,44,34
203,red,44,38,43,44,34
204,black,44,38,43,44,35
205,green,44,38,44,44,35
206,green,44,38,45,44,35
207,blue,44,39,45,44,35
208,green,44,39,46,44,35
209,black,44,39,46,44,36
210,green,44,39,47,44,36
211,red,45,39,47,44,36
212,blue,45,40,47,44,36
213,blue,45,41,47,44,36
214,green,45,41,48,44,36
215,yellow,45,41,48,45,36
216,blue,45,42,48,45,36
217,black,45,42,48,45,37
218,green,45,42,49,45,37
219,blue,45,43,49,45,37
220,blue,45,44,49,45,37
221,red,46,44,49,45,37
222,green,46,44,50,45,37
223,blue,46,45,50,45,37
224,black,46,45,50,45,38
225,blue,46,46,50,45,38
226,black,46,46,50,45,39
227,blue,46,47,50,45,39
228,green,46,47,51,45,39
229,green,46,47,52,45,39
230,red,47,47,52,45,39
231,red,48,47,52,45,39
232,black,48,47,52,45,40
233,yellow,48,47,52,46,40
234,black,48,47,52,46,41
235,yellow,48,47,52,47,41
236,blue,48,48,52,47,41
237,black,48,48,52,47,42
238,red,49,48,52,47,42
239,green,49,48,53,47,42
240,black,49,48,53,47,43
241,black,49,48,53,47,44
242,black,49,48,53,47,45
243,black,49,48,53,47,46
244,red,50,48,53,47,46
245,red,51,48,53,47,46
246,black,51,48,53,47,47
247,red,52,48,53,47,47
248,blue,52,49,53,47,47
249,yellow,52,49,53,48,47
250,red,53,49,53,48,47
251,red,54,49,53,48,47
252,red,55,49,53,48,47
253,blue,55,50,53,48,47
254,red,56,50,53,48,47
255,yellow,56,50,53,49,47
256,green,56,50,54,49,47
257,green,56,50,55,49,47
258,black,56,50,55,49,48
259,green,56,50,56,49,48
260,red,57,50,56,49,48
261,blue,57,51,56,49,48
262,red,58,51,56,49,48
263,black,58,51,56,49,49
264,black,58,51,56,49,50
265,green,58,51,57,49,50
266,red,59,51,57,49,50
267,green,59,51,58,49,50
268,green,59,51,59,49,50
269,blue,59,52,59,49,50
270,red,60,52,59,49,50
271,black,60,52,59,49,51
272,black,60,52,59,49,52
273,red,61,52,59,49,52
274,yellow,61,52,59,50,52
275,black,61,52,59,50,53
276,blue,61,53,59,50,53
277,blue,61,54,59,50,53
278,red,62,54,59,50,53
279,black,62,54,59,50,54
280,black,62,54,59,50,55
281,green,62,54,60,50,55
282,blue,62,55,60,50,55
